listing_id,url,property_type,area_units,area_m2,land_area,rooms,floor,total_floors,has_repair,has_kupca,has_mortgage,photo_count,city,location_level_2,location_level_3,floor_ratio,is_first_floor,is_top_floor,area_per_room,description_has_parking,description_has_furnished,price_azn
6366353,https://bina.az/items/6366353,menziller/kohne-tikili,m²,62.0,,2.0,3.0,3.0,True,False,False,11,Bakı,iceri-seher-metrosu,,1.0,False,True,31.0,False,,800
6366361,https://bina.az/items/6366361,obyektler,m²,120.0,,,,,True,False,False,6,Bakı,28-may,,,,,,False,,1650
6366362,https://bina.az/items/6366362,obyektler,m²,14.0,,,,,True,False,False,5,Bakı,sahil,,,,,,False,,550
5408195,https://bina.az/items/5408195,menziller/yeni-tikili,m²,196.0,,4.0,12.0,18.0,True,False,False,22,Bakı,nesimi,,0.6666666666666666,False,False,49.0,False,True,1700
5824800,https://bina.az/items/5824800,menziller/yeni-tikili,m²,70.0,,2.0,4.0,7.0,True,False,False,10,Bakı,sabuncu,nardaran,0.5714285714285714,False,False,35.0,False,,6500
6366371,https://bina.az/items/6366371,ofisler,m²,310.0,,5.0,,,True,False,False,12,Bakı,nerimanov,,,,,62.0,False,,2000
5564928,https://bina.az/items/5564928,obyektler,m²,150.0,,,,,True,False,False,7,Bakı,xalqlar-dostlugu,,,,,,False,,2500
5179067,https://bina.az/items/5179067,menziller/yeni-tikili,m²,65.0,,2.0,5.0,7.0,True,False,False,15,Bakı,xetai,ag-sheher,0.7142857142857143,False,False,32.5,False,,1800
5223856,https://bina.az/items/5223856,menziller/yeni-tikili,m²,76.0,,2.0,2.0,5.0,True,False,False,17,Bakı,sabuncu,sea-breeze,0.4,False,False,38.0,False,,5500
6366386,https://bina.az/items/6366386,obyektler,m²,210.0,,,,,True,False,False,9,Bakı,nerimanov,,,,,,False,,3000
5210534,https://bina.az/items/5210534,menziller/yeni-tikili,m²,86.0,,2.0,13.0,17.0,True,False,False,23,Bakı,elmler-akademiyasi,,0.7647058823529411,False,False,43.0,False,,1600
6366388,https://bina.az/items/6366388,menziller/kohne-tikili,m²,100.0,,3.0,1.0,10.0,True,False,False,10,Bakı,genclik,,0.1,True,False,33.333333333333336,True,True,850
6366396,https://bina.az/items/6366396,menziller/yeni-tikili,m²,50.0,,1.0,5.0,17.0,True,False,False,6,Bakı,hezi-aslanov,,0.29411764705882354,False,False,50.0,False,,500
6364750,https://bina.az/items/6364750,menziller/kohne-tikili,m²,60.0,,3.0,4.0,5.0,True,False,False,13,Bakı,sebail,badamdar,0.8,False,False,20.0,False,,600
6366398,https://bina.az/items/6366398,heyet-evleri,m²,65.0,2.0,2.0,,,True,False,False,9,Bakı,nerimanov,,,,,32.5,False,,450
6366400,https://bina.az/items/6366400,menziller/yeni-tikili,m²,157.0,,3.0,17.0,20.0,True,False,False,15,Bakı,xetai,ag-sheher,0.85,False,False,52.333333333333336,False,,2500
6366401,https://bina.az/items/6366401,ofisler,m²,100.0,,3.0,,,True,False,False,13,Bakı,28-may,,,,,33.333333333333336,False,False,1500
6366404,https://bina.az/items/6366404,menziller/yeni-tikili,m²,70.0,,3.0,16.0,18.0,True,False,False,9,Bakı,bakmil,,0.8888888888888888,False,False,23.333333333333332,False,,1200
6366406,https://bina.az/items/6366406,menziller/kohne-tikili,m²,70.0,,3.0,4.0,4.0,True,False,False,15,Bakı,28-may,,1.0,False,True,23.333333333333332,False,True,849
6366413,https://bina.az/items/6366413,ofisler,m²,100.0,,3.0,,,True,False,False,6,Bakı,nizami-metrosu,,,,,33.333333333333336,False,,1800
6275530,https://bina.az/items/6275530,obyektler,m²,180.0,,,,,True,False,False,12,Bakı,genclik,,,,,,False,,1999
6366417,https://bina.az/items/6366417,menziller/kohne-tikili,m²,235.0,,5.0,8.0,8.0,True,False,False,30,Bakı,neriman-nerimanov,,1.0,False,True,47.0,False,,3500
6252839,https://bina.az/items/6252839,menziller/yeni-tikili,m²,60.0,,2.0,9.0,16.0,True,False,False,8,Bakı,genclik,,0.5625,False,False,30.0,False,,790
5935814,https://bina.az/items/5935814,ofisler,m²,60.0,,3.0,,,True,False,False,14,Bakı,nizami-metrosu,,,,,20.0,False,,1199
6366435,https://bina.az/items/6366435,menziller/yeni-tikili,m²,60.0,,2.0,11.0,12.0,True,False,False,13,Bakı,yasamal,yasamal-qesebesi,0.9166666666666666,False,False,30.0,False,,700
6150572,https://bina.az/items/6150572,menziller/yeni-tikili,m²,100.0,,2.0,2.0,7.0,True,False,False,19,Bakı,xetai,ag-sheher,0.2857142857142857,False,False,50.0,False,,1300
6366441,https://bina.az/items/6366441,menziller/yeni-tikili,m²,110.0,,3.0,16.0,19.0,True,False,False,16,Bakı,elmler-akademiyasi,,0.8421052631578947,False,False,36.666666666666664,False,,1000
6366447,https://bina.az/items/6366447,menziller/yeni-tikili,m²,110.0,,3.0,16.0,19.0,True,False,False,14,Bakı,elmler-akademiyasi,,0.8421052631578947,False,False,36.666666666666664,False,,1000
6366448,https://bina.az/items/6366448,menziller/yeni-tikili,m²,130.0,,3.0,3.0,10.0,True,False,False,21,Bakı,nesimi,,0.3,False,False,43.333333333333336,False,,800
6366454,https://bina.az/items/6366454,obyektler,m²,100.0,,,,,True,False,False,4,Xırdalan,,,,,,,False,,3000
6366458,https://bina.az/items/6366458,obyektler,m²,35.0,,,,,True,False,False,5,Xırdalan,abseron,,,,,,False,,450
6366462,https://bina.az/items/6366462,menziller/yeni-tikili,m²,75.0,,3.0,6.0,14.0,True,False,False,16,Bakı,neftciler,,0.42857142857142855,False,False,25.0,False,,750
6366463,https://bina.az/items/6366463,menziller/yeni-tikili,m²,110.0,,3.0,4.0,16.0,True,False,False,26,Bakı,insaatcilar,,0.25,False,False,36.666666666666664,False,,170
6366461,https://bina.az/items/6366461,menziller/yeni-tikili,m²,110.0,,3.0,16.0,19.0,True,False,False,25,Bakı,elmler-akademiyasi,,0.8421052631578947,False,False,36.666666666666664,False,True,1000
6273925,https://bina.az/items/6273925,menziller/yeni-tikili,m²,200.0,,4.0,8.0,10.0,True,False,False,19,Bakı,elmler-akademiyasi,,0.8,False,False,50.0,False,True,1500
6366465,https://bina.az/items/6366465,menziller/yeni-tikili,m²,130.0,,3.0,3.0,10.0,True,False,False,18,Bakı,nerimanov,,0.3,False,False,43.333333333333336,False,,800
6184003,https://bina.az/items/6184003,menziller/yeni-tikili,m²,100.0,,3.0,6.0,18.0,True,False,False,6,Bakı,sebail,badamdar,0.3333333333333333,False,False,33.333333333333336,False,,800
6252275,https://bina.az/items/6252275,menziller/yeni-tikili,m²,110.0,,3.0,5.0,16.0,True,False,False,9,Bakı,xetai,,0.3125,False,False,36.666666666666664,False,,850
6366476,https://bina.az/items/6366476,menziller/kohne-tikili,m²,100.0,,3.0,4.0,5.0,True,False,False,8,Bakı,elmler-akademiyasi,,0.8,False,False,33.333333333333336,False,,850
6366477,https://bina.az/items/6366477,menziller/kohne-tikili,m²,45.0,,2.0,3.0,9.0,True,False,False,4,Bakı,genclik,,0.3333333333333333,False,False,22.5,False,,750
6126766,https://bina.az/items/6126766,obyektler,m²,60.0,,,,,True,False,False,9,Bakı,sahil,,,,,,False,,1499
6366488,https://bina.az/items/6366488,menziller/yeni-tikili,m²,70.0,,2.0,15.0,15.0,True,False,False,13,Bakı,sebail,,1.0,False,True,35.0,False,,699
6366496,https://bina.az/items/6366496,menziller/yeni-tikili,m²,55.0,,2.0,6.0,6.0,True,False,False,8,Bakı,xetai,ag-sheher,1.0,False,True,27.5,False,,1100
